gene	GENEID	Name	rna_group
Gucy2f	ENSMUSG00000042282	guanylate cyclase 2f(Gucy2f)	Group1
Esrrb	ENSMUSG00000021255	estrogen related receptor, beta(Esrrb)	Group1
Ckmt1	ENSMUSG00000000308	creatine kinase, mitochondrial 1, ubiquitous(Ckmt1)	Group1
A930003A15Rik	ENSMUSG00000075330	RIKEN cDNA A930003A15 gene(A930003A15Rik)	Group1
Cabp4	ENSMUSG00000024842	calcium binding protein 4(Cabp4)	Group1
Padi2	ENSMUSG00000028927	peptidyl arginine deiminase, type II(Padi2)	Group1
Ndufs2	ENSMUSG00000013593	NADH:ubiquinone oxidoreductase core subunit S2(Ndufs2)	Group1
Ccdc187	ENSMUSG00000048038	coiled-coil domain containing 187(Ccdc187)	Group1
Rnf207	ENSMUSG00000058498	ring finger protein 207(Rnf207)	Group1
Nadk2	ENSMUSG00000022253	NAD kinase 2, mitochondrial(Nadk2)	Group1
Snx10	ENSMUSG00000038301	sorting nexin 10(Snx10)	Group1
Arhgap10	ENSMUSG00000037148	Rho GTPase activating protein 10(Arhgap10)	Group1
Mpp4	ENSMUSG00000079550	membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)(Mpp4)	Group1
Slco4a1	ENSMUSG00000038963	solute carrier organic anion transporter family, member 4a1(Slco4a1)	Group1
Pla2r1	ENSMUSG00000054580	phospholipase A2 receptor 1(Pla2r1)	Group1
Rho	ENSMUSG00000030324	rhodopsin(Rho)	Group1
Rcvrn	ENSMUSG00000020907	recoverin(Rcvrn)	Group1
Gnat1	ENSMUSG00000034837	guanine nucleotide binding protein, alpha transducing 1(Gnat1)	Group1
Dhh	ENSMUSG00000023000	desert hedgehog(Dhh)	Group1
Ppara	ENSMUSG00000022383	peroxisome proliferator activated receptor alpha(Ppara)	Group1
Col5a3	ENSMUSG00000004098	collagen, type V, alpha 3(Col5a3)	Group1
Prcd	ENSMUSG00000075410	photoreceptor disc component(Prcd)	Group1
Nxnl1	ENSMUSG00000034829	nucleoredoxin-like 1(Nxnl1)	Group1
Ccdc113	ENSMUSG00000036598	coiled-coil domain containing 113(Ccdc113)	Group1
Alpl	ENSMUSG00000028766	alkaline phosphatase, liver/bone/kidney(Alpl)	Group1
Trim36	ENSMUSG00000033949	tripartite motif-containing 36(Trim36)	Group2
Svil	ENSMUSG00000024236	supervillin(Svil)	Group2
Uckl1	ENSMUSG00000089917	uridine-cytidine kinase 1-like 1(Uckl1)	Group2
Igsf9	ENSMUSG00000037995	immunoglobulin superfamily, member 9(Igsf9)	Group2
Gckr	ENSMUSG00000059434	glucokinase regulatory protein(Gckr)	Group2
Tmem266	ENSMUSG00000032313	transmembrane protein 266(Tmem266)	Group2
Kcne2	ENSMUSG00000039672	potassium voltage-gated channel, Isk-related subfamily, gene 2(Kcne2)	Group2
Pde6c	ENSMUSG00000024992	phosphodiesterase 6C, cGMP specific, cone, alpha prime(Pde6c)	Group2
Guca1a	ENSMUSG00000023982	guanylate cyclase activator 1a (retina)(Guca1a)	Group2
Gnat2	ENSMUSG00000009108	guanine nucleotide binding protein, alpha transducing 2(Gnat2)	Group2
Mns1	ENSMUSG00000032221	meiosis-specific nuclear structural protein 1(Mns1)	Group2
Kifc3	ENSMUSG00000031788	kinesin family member C3(Kifc3)	Group2
Ldha	ENSMUSG00000063229	lactate dehydrogenase A(Ldha)	Group2
Sp6	ENSMUSG00000038560	trans-acting transcription factor 6(Sp6)	Group2
Ano2	ENSMUSG00000038115	anoctamin 2(Ano2)	Group2
Rhpn1	ENSMUSG00000022580	rhophilin, Rho GTPase binding protein 1(Rhpn1)	Group2
Reep6	ENSMUSG00000035504	receptor accessory protein 6(Reep6)	Group2
1190005I06Rik	ENSMUSG00000043687	RIKEN cDNA 1190005I06 gene(1190005I06Rik)	Group2
Mylk	ENSMUSG00000022836	myosin, light polypeptide kinase(Mylk)	Group2
Ttll3	ENSMUSG00000030276	tubulin tyrosine ligase-like family, member 3(Ttll3)	Group2
Sec14l2	ENSMUSG00000003585	SEC14-like lipid binding 2(Sec14l2)	Group2
Wdr66	ENSMUSG00000029442	WD repeat domain 66(Wdr66)	Group2
Rgs20	ENSMUSG00000002459	regulator of G-protein signaling 20(Rgs20)	Group2
Knstrn	ENSMUSG00000027331	kinetochore-localized astrin/SPAG5 binding(Knstrn)	Group2
Ptpn21	ENSMUSG00000021009	protein tyrosine phosphatase, non-receptor type 21(Ptpn21)	Group2
Dnaic1	ENSMUSG00000061322	dynein axonemal intermediate chain 1(Dnai1)	Group2
Aqp1	ENSMUSG00000004655	aquaporin 1(Aqp1)	Group2
Samd11	ENSMUSG00000096351	sterile alpha motif domain containing 11(Samd11)	Group2
Trafd1	ENSMUSG00000042726	TRAF type zinc finger domain containing 1(Trafd1)	Group2
Kcnv2	ENSMUSG00000047298	potassium channel, subfamily V, member 2(Kcnv2)	Group2
Cnga3	ENSMUSG00000026114	cyclic nucleotide gated channel alpha 3(Cnga3)	Group2
Chst3	ENSMUSG00000057337	carbohydrate sulfotransferase 3(Chst3)	Group2
Klhl18	ENSMUSG00000054792	kelch-like 18(Klhl18)	Group2
Fryl	ENSMUSG00000070733	FRY like transcription coactivator(Fryl)	Group2
Frmd4b	ENSMUSG00000030064	FERM domain containing 4B(Frmd4b)	Group2
Spata1	ENSMUSG00000028188	spermatogenesis associated 1(Spata1)	Group2
Map4k3	ENSMUSG00000024242	mitogen-activated protein kinase kinase kinase kinase 3(Map4k3)	Group2
Nectin1	ENSMUSG00000032012	nectin cell adhesion molecule 1(Nectin1)	Group2
Pcbp4	ENSMUSG00000023495	poly(rC) binding protein 4(Pcbp4)	Group2
Ccndbp1	ENSMUSG00000023572	cyclin D-type binding-protein 1(Ccndbp1)	Group2
Adcy6	ENSMUSG00000022994	adenylate cyclase 6(Adcy6)	Group2
St3gal1	ENSMUSG00000013846	ST3 beta-galactoside alpha-2,3-sialyltransferase 1(St3gal1)	Group2
Usp6nl	ENSMUSG00000039046	USP6 N-terminal like(Usp6nl)	Group2
Lmnb1	ENSMUSG00000024590	lamin B1(Lmnb1)	Group2
Ppef2	ENSMUSG00000029410	protein phosphatase, EF hand calcium-binding domain 2(Ppef2)	Group2
Eno2	ENSMUSG00000004267	enolase 2, gamma neuronal(Eno2)	Group2
Pde6h	ENSMUSG00000064330	phosphodiesterase 6H, cGMP-specific, cone, gamma(Pde6h)	Group2
Arr3	ENSMUSG00000060890	arrestin 3, retinal(Arr3)	Group2
